REP,OFV,T1,T2,T3,T4,T5,T6,O11,O21,O22,NOBS,NUNIQ,TERM
79,514.132034326384,0.00651812,1.4639,1.68543,0.0787302,1.09872,0.809658,0.0270199,0.0187465,0.0130065,146,42,SUCCESS
80,552.238101983969,0.00645303,1.49061,0.336544,0.105096,0.603828,0.863009,0.000957597,0.00597885,0.0373295,150,38,SUCCESS
81,547.69542743714,0.00730572,1.49638,2.59771,0.000606673,1.09098,0.882921,0.0429744,0.0244066,0.0138614,153,38,ROUNDING
82,544.363633253792,0.00785868,1.4645,1.21918,0.0899772,1.07087,1.03711,0.0478687,0.0362431,0.0304092,144,36,SUCCESS
83,609.670403792137,0.00794756,1.56372,0.875328,0.124984,1.21664,0.889583,0.0298741,0.0173761,0.0341814,154,35,SUCCESS
84,524.907563034732,0.00754893,1.52301,1.62574,0.0663356,1.11652,0.984066,0.0831721,0.0409998,0.0223807,147,38,SUCCESS
85,566.121752373406,0.00752912,1.47605,2.05023,0.0894369,1.02902,0.885987,0.0331528,0.0181252,0.00990938,152,35,SUCCESS
86,546.417789823985,0.00761439,1.43213,1.66175,0.100084,1.1078,0.787905,0.0288666,0.0107897,0.020768,143,39,SUCCESS
87,597.841782479893,0.00730311,1.47255,1.35968,0.0928312,1.04046,0.921898,0.042682,0.0342887,0.030775,157,38,SUCCESS
88,551.025397939385,0.00668621,1.46258,1.63458,0.0770292,0.951681,1.03115,0.0414459,0.0197778,0.0172153,154,38,SUCCESS
89,627.987499351282,0.00706568,1.53105,2.1495,0.0771436,1.1739,0.973299,0.0497218,0.0322688,0.0217475,164,37,SUCCESS
90,527.859539792131,0.00724523,1.41723,0.894858,0.106659,0.739862,1.07762,0.0138124,0.0124535,0.0112283,150,39,SUCCESS
91,572.657503767343,0.00705782,1.51134,0.599053,0.0916416,1.26484,0.931834,0.0700433,0.0485821,0.0336966,156,38,SUCCESS
92,517.876669840531,0.00714879,1.46571,1.31414,0.0751512,1.08206,1.13844,0.0973724,0.0476421,0.0233102,144,34,SUCCESS
93,538.526438485095,0.00765912,1.52653,1.90962,0.074137,1.21114,0.963948,0.0510698,0.0343886,0.0231561,145,38,SUCCESS
94,532.263097085066,0.00647834,1.49975,1.50709,0.0772609,0.976625,0.81751,0.0199526,0.0208027,0.0216891,152,36,SUCCESS
95,541.711681178568,0.00729026,1.57851,6.63828e-05,0.10589,1.3194,0.901136,0.0523835,0.0335491,0.0302571,149,35,SUCCESS
96,512.187128560779,0.0081956,1.54816,1.06164,0.0897864,0.945238,1.04836,0.126316,0.0551805,0.0241053,138,37,SUCCESS
97,578.941278555694,0.00647398,1.49532,2.47227,0.0739082,1.36821,0.914331,0.0222966,0.0187045,0.0156912,151,37,SUCCESS
98,532.033202000858,0.00738179,1.50313,1.09085,0.094389,1.18368,0.929,0.00314382,0.00819763,0.0269113,148,41,SUCCESS
99,536.176991441821,0.00687096,1.45919,1.85657,0.0693771,1.01472,0.974794,0.0279344,0.0165054,0.0239899,146,40,SUCCESS
100,609.338541819361,0.00732034,1.57495,2.36314,0.066492,1.38217,0.955333,0.0173342,0.016465,0.0156395,168,35,SUCCESS
101,571.737029792501,0.0070847,1.4729,2.64153,0.000375739,1.15605,0.825579,0.0880222,0.0277159,0.00872702,157,36,SUCCESS
102,556.386810079894,0.00693689,1.43798,1.8337,0.0702433,0.924899,0.710178,0.0487919,0.027289,0.0152625,156,35,SUCCESS
103,459.57374116795,0.00706442,1.48763,1.18055,0.0809141,0.8982,0.951469,0.0109724,0.0157893,0.022721,134,37,SUCCESS
104,534.859172234402,0.00832234,1.57158,1.21522,0.102798,1.34654,0.996019,0.0421776,0.0392068,0.0364453,139,35,SUCCESS
105,493.799076885271,0.00720466,1.52391,1.62496,0.0624896,1.03452,0.909719,0.0500859,0.0223668,0.0099883,147,35,SUCCESS
106,520.307150428085,0.00707381,1.53568,2.53398,0.0369442,1.41453,0.935664,0.00218827,0.00718058,0.0235624,144,32,SUCCESS
107,595.008495974615,0.00738009,1.50612,1.88663,0.10146,1.1839,0.744719,0.0746976,0.0320962,0.0184655,153,38,SUCCESS
108,611.873316344925,0.00704678,1.48529,2.88241,2.01557e-05,1.05321,0.798638,0.0495888,0.0281245,0.015951,163,39,SUCCESS
109,557.930576154996,0.00700622,1.44724,2.33539,0.0568299,1.0848,0.944838,0.0624461,0.0238776,0.00913009,154,40,SUCCESS
110,532.214681752018,0.00755327,1.47593,1.96021,0.0519325,0.838435,0.905172,0.0775967,0.0360958,0.0167907,148,35,SUCCESS
111,485.126359106224,0.00713009,1.54088,1.18961,0.081125,1.15849,0.953687,0.0411395,0.0275048,0.018389,142,38,SUCCESS
112,646.386607850902,0.00744976,1.43485,0.54999,0.12948,0.930933,0.964856,0.0060051,0.0129701,0.0280132,167,33,SUCCESS
113,603.731931248352,0.00757343,1.50859,2.86502,0.0499977,1.21329,0.845171,0.0827349,0.0299676,0.0130667,154,34,SUCCESS
114,593.778879647166,0.00721783,1.62528,0.000104618,0.119626,1.12629,0.93042,0.0143351,0.0164148,0.0466231,154,36,SUCCESS
115,575.680054396703,0.00744166,1.48776,0.776429,0.114685,1.01081,0.959744,0.0181086,0.0170372,0.0293852,151,41,SUCCESS
116,557.765805591039,0.00771938,1.55005,2.16875,0.0583591,1.15259,0.931023,0.0691765,0.0373206,0.0201344,150,40,SUCCESS
117,526.176037791814,0.00684511,1.49419,1.04942,0.0870499,1.0318,0.802531,0.0375646,0.0180513,0.0200664,148,40,SUCCESS
118,587.932247804914,0.00799553,1.51083,2.57743,0.0558326,1.18359,0.886123,0.0878444,0.045635,0.0237073,149,38,SUCCESS
119,519.703272363059,0.00706598,1.48319,2.45242,0.0473168,1.04082,0.878312,0.0347696,0.0145225,0.00606573,148,35,SUCCESS
120,630.646379529417,0.00740709,1.50429,2.27053,0.0797963,0.991932,0.855953,0.046207,0.0206075,0.0091906,168,36,SUCCESS
121,586.278442774333,0.00742722,1.51909,1.59553,0.0751383,1.32622,1.07996,0.0876282,0.0374538,0.0234682,160,34,SUCCESS
122,627.447141395735,0.00743345,1.4726,0.781097,0.104544,1.02111,0.958997,0.0327191,0.0212552,0.0285176,170,38,SUCCESS
123,509.078123376766,0.00723248,1.45451,1.1053,0.0711663,1.02926,1.01015,0.0211904,0.0214164,0.0250287,152,37,SUCCESS
124,570.768662346291,0.00716456,1.51194,1.70685,0.0778937,1.3035,0.928885,0.0581778,0.0348302,0.0290754,152,42,SUCCESS
125,542.75849890388,0.00709073,1.58835,2.50502,0.00539426,1.33366,0.849399,0.0356683,0.0267381,0.0200437,153,38,SUCCESS
126,536.376269843996,0.00771108,1.53581,2.00737,0.0595194,1.05941,0.939361,0.0878428,0.0435898,0.0216303,145,39,SUCCESS
127,600.073947985586,0.00721339,1.48547,1.23666,0.0976614,0.865999,0.914344,0.0255006,0.0183158,0.019213,166,39,SUCCESS
128,541.275514110621,0.00786266,1.52244,4.01129e-05,0.104355,0.911092,0.846632,0.0424174,0.0232259,0.0190899,152,37,SUCCESS
129,595.213628304801,0.00757876,1.50387,2.49801,0.0491612,1.21614,0.859534,0.068798,0.0348976,0.0177017,159,35,SUCCESS
130,504.975265752033,0.00836043,1.53766,0.00363024,0.113471,0.73198,0.975796,0.0443118,0.0349705,0.0275984,135,35,SUCCESS
131,549.647530312843,0.00705952,1.45901,2.31009,0.0363579,1.30813,0.966445,0.0446544,0.0240859,0.0214733,151,37,SUCCESS
132,595.353197441707,0.00706139,1.4939,1.6232,0.0873315,1.11081,0.925694,0.0585797,0.0219947,0.0201923,161,39,SUCCESS
133,529.926076564335,0.00762096,1.50404,2.69142,0.00307947,1.1948,0.951313,0.0888745,0.0392852,0.0173652,141,33,SUCCESS
134,570.466318913693,0.00769124,1.49658,1.91915,0.080575,0.96672,0.963642,0.0885125,0.0462597,0.024177,148,35,SUCCESS
135,543.703480331841,0.0080305,1.54285,1.1701e-09,0.117118,1.03669,0.958582,0.0221099,0.0207799,0.02992,144,38,ROUNDING
136,579.50498067884,0.0072853,1.51698,0.000168817,0.108051,0.985331,1.04484,0.0179037,0.00441911,0.0280385,161,39,SUCCESS
137,536.68984681589,0.00813563,1.51408,2.05313e-06,0.10918,0.908534,1.00957,0.0458544,0.0303712,0.0217145,147,39,SUCCESS
138,535.0829257378,0.00733196,1.56306,0.792595,0.108459,0.964274,0.962398,0.0206647,0.0172291,0.0279336,146,40,SUCCESS
139,560.36832238332,0.00713367,1.51167,1.86424,0.0629925,1.30294,0.947943,0.0855548,0.0377325,0.0166413,157,36,SUCCESS
140,528.977114630396,0.00740456,1.48611,0.00119194,0.113842,1.12974,0.814351,0.0152836,0.0144965,0.01375,148,37,SUCCESS
141,537.403688077235,0.00693302,1.49455,1.8752,0.0618453,1.60252,0.957242,0.0161697,0.0219694,0.0307979,147,36,SUCCESS
142,489.782860196107,0.00795156,1.54611,0.464794,0.108496,1.29016,1.01471,0.0281744,0.0304828,0.0329803,132,37,ROUNDING
143,698.263425827021,0.0072305,1.43569,2.08024,0.106559,0.924296,0.935135,0.0564271,0.0223745,0.0105699,176,34,SUCCESS
144,580.830283196056,0.00705502,1.50306,1.96469,0.0843414,1.19136,1.01939,0.0418575,0.0253743,0.0153821,155,38,SUCCESS
145,631.382013857429,0.0069139,1.49143,2.79774,5.09292e-06,1.19627,0.871266,0.0483907,0.0292076,0.0176291,170,42,SUCCESS
146,581.49018850548,0.00715218,1.4426,5.66178e-05,0.108984,0.774724,0.927177,0.0203319,0.00216295,0.0267002,158,39,SUCCESS
147,604.257722936177,0.00717786,1.54354,1.26622,0.107022,1.17598,0.917311,0.037242,0.0200433,0.0243378,161,39,SUCCESS
148,479.515697509781,0.00707053,1.48368,2.4892,0.0376044,1.14045,0.934889,0.0478264,0.0268396,0.015062,150,39,TERMINATED
149,604.934611723742,0.00742459,1.45688,1.55299,0.0885583,1.10435,0.977609,0.0405788,0.0183428,0.0206618,161,41,SUCCESS
150,580.259199123971,0.00715036,1.51435,1.52963,0.0904384,1.08264,0.819339,0.0391635,0.0174792,0.0201004,158,37,SUCCESS
151,594.624394807841,0.00683865,1.44168,2.14488,0.0586509,0.920594,0.845356,0.0524611,0.0279937,0.0149377,164,40,SUCCESS
152,612.212762461161,0.00714288,1.49427,1.79535,0.0948444,0.941992,0.905183,0.0977617,0.039274,0.0270615,154,36,SUCCESS
153,626.531216591809,0.00791982,1.56801,1.7753,0.0902781,1.27102,1.09007,0.0876938,0.0264974,0.0199418,164,33,SUCCESS
154,638.079353827805,0.00710145,1.50134,2.3789,0.044483,1.35711,0.970421,0.0447794,0.0193087,0.0234753,172,38,SUCCESS
155,556.401858426195,0.00713668,1.54166,1.62349,0.0863116,1.26062,0.843796,0.0243562,0.022575,0.0209241,152,40,SUCCESS
156,623.573109075774,0.00697161,1.48135,2.3422,0.0431867,1.14633,0.785607,0.0521417,0.0310886,0.0185361,172,38,SUCCESS
157,669.868838950817,0.00738599,1.44835,1.93032,0.10315,1.08644,0.827572,0.027192,0.0153343,0.0241139,170,36,SUCCESS
158,578.781444689667,0.00716465,1.48055,2.42502,0.0675428,1.13729,0.870327,0.0434711,0.0281787,0.018266,151,41,SUCCESS
159,593.422629841357,0.00716054,1.45423,2.24375,0.0598576,1.30525,0.984379,0.0751418,0.0311867,0.0129437,161,38,SUCCESS
160,544.002492957252,0.00766827,1.40444,0.771734,0.104559,1.03651,0.963522,0.00317224,0.00913441,0.0263024,150,38,SUCCESS
161,533.594843386558,0.00751325,1.48331,1.01348,0.0998324,1.17874,1.00743,0.00529104,0.0101512,0.0223463,149,42,SUCCESS
162,517.861429794241,0.0069887,1.44261,1.7177,0.0586168,1.22263,0.989744,0.016928,0.0196386,0.0227832,150,36,SUCCESS
163,577.93954900535,0.00703004,1.45856,0.232838,0.108091,0.878562,1.02231,0.031511,0.0132114,0.0246219,156,38,SUCCESS
164,646.761006089394,0.0076466,1.54266,1.00864,0.117013,1.13013,1.01812,0.0282878,0.00732218,0.0297748,168,37,SUCCESS
165,614.43053743359,0.0071803,1.51793,1.01765,0.12021,0.933118,0.98486,0.0276582,0.0069514,0.0265107,159,39,SUCCESS
166,526.987010603276,0.00752061,1.47514,1.47372,0.0669493,1.07703,1.03086,0.0868506,0.0400188,0.0184398,152,37,SUCCESS
167,549.208716219222,0.00738763,1.5114,2.50325,0.035612,1.06416,0.924332,0.040969,0.0353163,0.0304436,145,35,SUCCESS
168,591.741246889123,0.00746692,1.49521,1.74569,0.0804956,1.16121,0.92742,0.0363523,0.0226114,0.0249785,159,40,SUCCESS
169,593.654032808411,0.00736537,1.5289,2.88823,0.000586563,1.28627,0.861701,0.0083743,0.0163371,0.0318716,157,34,SUCCESS
170,570.55031566161,0.00747248,1.52373,1.49801,0.0856137,1.14264,0.873191,0.0183339,0.0212944,0.0247329,158,37,SUCCESS
171,552.001431365767,0.00787852,1.55554,0.368364,0.107145,0.974167,1.11983,0.126441,0.0530477,0.022256,149,36,SUCCESS
172,603.638759332317,0.00764468,1.5392,3.11859,1.26666e-06,1.23814,0.945395,0.0432276,0.0241412,0.013482,158,40,SUCCESS
173,610.805185479317,0.00821095,1.56419,1.63733,0.102391,1.36235,1.01438,0.044034,0.0243999,0.0270568,157,38,SUCCESS
174,582.733732730129,0.00734108,1.46379,5.28969e-05,0.103531,1.02076,0.866395,0.0174537,0.0135592,0.0402566,155,40,SUCCESS
175,599.058332694786,0.00748575,1.54272,2.45536,0.0687754,1.18306,0.80369,0.0181685,0.020714,0.0236162,158,35,SUCCESS
176,650.910669856706,0.00668795,1.50177,2.9265,3.30317e-05,1.04039,0.782974,0.055793,0.0273176,0.0133754,174,35,SUCCESS
177,546.453768547579,0.00694532,1.43155,1.91469,0.0724724,0.898421,0.784689,0.0376194,0.0223436,0.0132707,152,39,SUCCESS
178,519.304873614683,0.00629466,1.47024,2.42566,4.19474e-06,1.27835,0.835259,0.0713821,0.0273921,0.0116455,148,38,SUCCESS
179,557.722442298717,0.00663828,1.52148,1.26371,0.10051,1.32905,0.783564,0.0276335,0.0258709,0.0242206,151,34,SUCCESS
180,540.808757234132,0.00725314,1.48135,2.22048,0.0716759,1.33637,0.970697,0.0354734,0.027487,0.0212987,143,39,SUCCESS
181,499.593507102745,0.00717608,1.44481,1.1268,0.0788955,0.92741,1.02009,0.0404622,0.0218621,0.0131776,147,39,SUCCESS
182,481.134136067609,0.00729083,1.54292,1.4772,0.0810485,1.04529,0.936836,0.0227317,0.026097,0.0299606,134,34,SUCCESS
183,575.620240816202,0.00712926,1.41586,1.99954,0.0906427,0.886217,0.840788,0.042014,0.0194664,0.0146561,149,38,SUCCESS
184,610.282312978221,0.00696167,1.45278,1.97659,0.0610344,1.13272,1.04608,0.0750881,0.0345306,0.0217183,165,36,SUCCESS
185,639.688795433775,0.00746844,1.51572,2.69483,0.0573327,1.1544,0.907058,0.0714921,0.0367752,0.018917,163,39,SUCCESS
186,581.586421024518,0.00682453,1.44844,2.32336,0.0432842,1.23432,0.78172,0.047275,0.0340829,0.024572,157,37,SUCCESS
187,643.387379764431,0.00753122,1.49006,2.5973,0.0568574,1.19279,0.958988,0.0409955,0.0312967,0.0238924,166,43,SUCCESS
188,654.628997105512,0.0072699,1.50801,2.11817,0.0847291,1.18275,0.803963,0.0574443,0.0190251,0.0226564,170,40,SUCCESS
189,523.003000716435,0.00697799,1.44957,1.08905,0.0921444,1.13813,0.700062,0.0168166,0.00869076,0.0126506,156,36,SUCCESS
190,592.879830952026,0.00771131,1.53911,2.60077,0.0444305,1.18625,0.927143,0.0499403,0.0313058,0.0196245,159,39,SUCCESS
191,461.363240733264,0.0071112,1.5282,2.14314,0.0646521,1.4554,0.883515,0.054275,0.0367877,0.0249348,156,38,OTHER
192,598.02031925778,0.00663179,1.44563,1.55139,0.106427,0.457819,1.05315,0.0182463,0.0126937,0.0200909,159,34,SUCCESS
193,535.989955681556,0.00702011,1.46061,2.05443,0.0575052,0.974045,0.856143,0.0430843,0.0249472,0.0144453,151,41,ROUNDING
194,583.952318348778,0.00766905,1.47557,1.26732,0.111109,1.02632,1.05256,0.0266628,0.011585,0.0205505,153,38,SUCCESS
195,607.492764877694,0.00718083,1.53627,2.52133,0.0318874,1.46426,0.969009,0.0652803,0.0321587,0.0242303,162,41,SUCCESS
196,555.517414108814,0.0069249,1.47272,2.00523,0.0734017,1.24217,0.882932,0.0156838,0.0148544,0.0233969,151,41,SUCCESS
197,578.683010730561,0.00737811,1.46163,2.17765,0.0458609,1.07824,0.914574,0.0841972,0.0390833,0.018142,158,39,ROUNDING
198,511.023034310458,0.00708753,1.47918,2.41395,6.93537e-05,1.17917,0.87246,0.0582171,0.0271685,0.0126789,146,38,SUCCESS
199,596.974090494644,0.00699629,1.46988,2.46422,0.0571998,1.16318,0.866311,0.0202144,0.0168138,0.0163747,162,38,SUCCESS
